date,invoice_reference,description,net_amount,vat_amount,gross_amount,counterparty_ref,document_reference,category,vat_rate,vat_treatment,country,quantity,unit_price,month_key,calibration_group,direction_multiplier,source_dataset
04/04/2011,536383,LUNCH BAG SUKI DESIGN,83.32,16.66,99.98,United Kingdom,DOC-22383-28F99CC8,General merchandise,0.2,standard_rate_goods,United Kingdom,50,1.65,2011-04,goods_standard,1.01,uci_online_retail_like_seed
13/04/2011,536384,BAKING SET 9 PIECE RETROSPOT,35.69,0.0,35.69,Netherlands,DOC-22138-81E4A9D4,Export sale,0.0,zero_rated_export,Netherlands,7,4.95,2011-04,exports_zero,1.03,uci_online_retail_like_seed
21/04/2011,536385,JUMBO BAG STRAWBERRY,55.15,11.03,66.18,United Kingdom,DOC-85099F-DF8D7159,Retail goods,0.2,standard_rate_goods,United Kingdom,28,1.95,2011-04,goods_standard,1.01,uci_online_retail_like_seed
06/05/2011,536386,RABBIT NIGHT LIGHT,18.16,3.63,21.79,United Kingdom,DOC-23084-4CBC16D2,Home goods,0.2,standard_rate_goods,United Kingdom,9,2.08,2011-05,goods_standard,0.97,uci_online_retail_like_seed
17/05/2011,536387,ROSES REGENCY TEACUP AND SAUCER,40.06,8.01,48.07,United Kingdom,DOC-22699-A0FF3874,Hospitality supplies,0.2,standard_rate_goods,United Kingdom,14,2.95,2011-05,goods_standard,0.97,uci_online_retail_like_seed
24/05/2011,536388,PACK OF 72 RETROSPOT CAKE CASES,19.44,0.0,19.44,Portugal,DOC-21212-F1566363,Hospitality supplies,0.0,zero_rated_export,Portugal,35,0.55,2011-05,exports_zero,1.01,uci_online_retail_like_seed
03/06/2011,536389,SMALL POPCORN HOLDER,45.79,9.16,54.95,United Kingdom,DOC-22197-79BEBE08,Retail goods,0.2,standard_rate_goods,United Kingdom,60,0.72,2011-06,goods_standard,1.06,uci_online_retail_like_seed
14/06/2011,536390,VICTORIAN GLASS HANGING T-LIGHT,14.58,2.92,17.5,United Kingdom,DOC-22178-1A896D7B,Home goods,0.2,standard_rate_goods,United Kingdom,11,1.25,2011-06,goods_standard,1.06,uci_online_retail_like_seed
23/06/2011,536391,REGENCY CAKESTAND 3 TIER,40.54,8.11,48.65,United Kingdom,DOC-22423-8BA86654,Hospitality supplies,0.2,standard_rate_goods,United Kingdom,3,12.75,2011-06,goods_standard,1.06,uci_online_retail_like_seed
28/06/2011,C536392,REGENCY CAKESTAND 3 TIER,-13.52,-2.7,-16.22,United Kingdom,DOC-22423-8BA86654,Hospitality supplies,0.2,standard_rate_goods,United Kingdom,-1,12.75,2011-06,goods_standard,1.06,uci_online_retail_like_seed
