record_id,source_type,date,reference_id,description,net_amount,vat_amount,gross_amount,counterparty_ref,country,category,vat_code
REC-00066,sale,2025-02-19,579161,RIBBON REEL HEARTS DESIGN,8.25,0.0,8.25,17379,United Kingdom,sales,ZR
REC-00067,sale,2025-02-19,540374,LUNCH BAG SPACEBOY DESIGN,33.0,6.6,39.6,15845,United Kingdom,sales,SR
REC-00068,sale,2025-01-28,539434,SOFT PINK ROSE TOWEL,3.36,0.67,4.03,UNKNOWN,United Kingdom,sales,SR
REC-00069,sale,2025-01-03,525571,MAGIC DRAWING SLATE DINOSAUR,10.08,2.02,12.1,13707,United Kingdom,sales,SR
REC-00070,sale,2025-02-09,540473,PACK OF 12 SKULL TISSUES,3.48,0.7,4.18,17284,United Kingdom,sales,SR
REC-00071,sale,2025-01-20,535835,HEART OF WICKER SMALL,23.52,4.7,28.22,UNKNOWN,United Kingdom,sales,SR
REC-00072,sale,Jan 2025,507223,PACK OF 12 WOODLAND TISSUES,1.74,0.0,1.74,17323,United Kingdom,sales,EXEMPT
REC-00073,sale,2025-03-18,527505,RED RETROSPOT PEG BAG,2.1,0.0,2.1,17841,United Kingdom,sales,ZR
REC-00074,sale,2025-01-21,544799,JUMBO BAG WOODLAND ANIMALS,19.5,3.9,23.4,17063,United Kingdom,sales,SR
REC-00075,sale,2025-01-06,523647,"DECOUPAGE,GREETING CARD,",5.04,1.01,6.05,14507,United Kingdom,sales,SR
REC-00076,sale,2025-01-26,581219,IVORY LOVE BIRD CANDLE,4.92,0.98,5.9,UNKNOWN,United Kingdom,sales,SR
REC-00077,sale,2025-01-27,542999,SET/2 RED RETROSPOT TEA TOWELS,5.79,0.0,5.79,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00078,sale,2025-02-28,571117,HOMEMADE JAM SCENTED CANDLES,17.4,3.48,20.88,16224,United Kingdom,sales,SR
REC-00079,sale,2025-02-19,550255,SWEETHEART WIRE MAGAZINE RACK,47.7,9.54,57.24,13468,United Kingdom,sales,SR
REC-00080,sale,2025-03-12,572331,ROLL WRAP VINTAGE SPOT,15.0,3.0,18.0,16491,United Kingdom,sales,SR
REC-00081,sale,2025-02-28,575477,PINK SWEETHEART BRACELET,4.15,0.83,4.98,UNKNOWN,United Kingdom,sales,SR
REC-00082,sale,2025-02-06,527096,DOORMAT FAIRY CAKE,202.5,40.5,243.0,13225,United Kingdom,sales,SR
REC-00083,sale,2025-03-14,544206,JUMBO BAG CHARLIE AND LOLA TOYS,10.76,2.15,12.91,,United Kingdom,sales,SR
REC-00084,sale,2025-01-15,557671,PACK OF 12 HEARTS DESIGN TISSUES,6.96,0.0,6.96,13849,United Kingdom,sales,ZR
REC-00085,sale,2025-01-02,570834,PINK REGENCY TEACUP AND SAUCER,17.7,3.54,21.24,13865,United Kingdom,sales,SR
REC-00086,sale,2025-01-08,539955,RED RETROSPOT CHARLOTTE BAG,10.04,2.01,12.05,UNKNOWN,United Kingdom,sales,SR
REC-00087,sale,2025-03-06,550953,PINK  POLKADOT PLATE,6.58,0.0,6.58,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00088,sale,2025-02-11,554658,GROW A FLYTRAP OR SUNFLOWER IN TIN,30.0,6.0,32.44,12839,United Kingdom,sales,SR
REC-00089,sale,2025-01-15,514036,JUMBO  BAG BAROQUE BLACK WHITE,39.0,7.8,46.8,15615,United Kingdom,sales,SR
REC-00090,sale,2025-02-14,546684,PARTY BUNTING,118.8,23.76,142.56,16152,United Kingdom,sales,SR
REC-00091,sale,2025-01-14,518138,LUNCH BAG RED SPOTTY,4.21,0.84,5.05,UNKNOWN,United Kingdom,sales,SR
REC-00092,sale,2025-03-04,520833,COLUMBIAN CANDLE ROUND,16.6,3.32,19.92,UNKNOWN,United Kingdom,sales,SR
REC-00093,sale,2025-02-10,533362,BROCADE RING PURSE,115.2,0.0,115.2,16422,United Kingdom,sales,ZR
REC-00094,sale,2025-02-04,527423,,17.0,3.4,20.4,14755,United Kingdom,sales,SR
REC-00095,sale,2025-01-28,537855,COOKING SET RETROSPOT,9.95,1.99,11.94,15996,United Kingdom,sales,SR
REC-00096,sale,2025-02-26,569371,OWL DOORSTOP,4.95,0.99,5.94,14651,United Kingdom,sales,SR
REC-00097,sale,2025-02-03,514355,SILVER LATTICE VANILLA CANDLE POT,22.5,0.0,22.5,17589,United Kingdom,sales,EXEMPT
REC-00098,sale,2025-01-08,565737,20 DOLLY PEGS RETROSPOT,2.9,0.58,3.48,16400,United Kingdom,sales,SR
REC-00099,sale,2025-01-10,506442,MAGIC DRAWING SLATE BUNNIES,1.26,0.0,1.26,16520,United Kingdom,sales,EXEMPT
REC-00100,sale,2025-03-27,551713,CHARLOTTE BAG VINTAGE ALPHABET,8.5,0.0,8.5,16230,United Kingdom,sales,ZR
REC-00101,sale,2025-03-24,552282,SMALL POPCORN HOLDER,17.0,3.4,20.4,14040,United Kingdom,sales,SR
REC-00102,sale,2025-03-04,531553,BALLOON ART MAKE YOUR OWN FLOWERS,19.5,3.9,37.33,16503,United Kingdom,sales,SR
REC-00103,sale,2025-01-24,569219,PHOTO FRAME LINEN AND LACE SMALL,2.08,0.42,2.5,13558,United Kingdom,sales,SR
REC-00104,sale,2025-03-28,534168,HANGING METAL STAR LANTERN,9.9,1.98,11.88,16367,United Kingdom,sales,SR
REC-00105,sale,2025-03-11,516954,ZINC FOLKART SLEIGH BELLS,6.76,1.35,8.11,13137,United Kingdom,sales,SR
REC-00106,sale,2025-03-06,524726,NATURAL SLATE HEART CHALKBOARD,17.7,3.54,21.24,15736,United Kingdom,sales,SR
REC-00107,sale,2025-02-10,561885,ASSORTED TUTTI FRUTTI LARGE PURSE,4.2,0.84,5.04,15532,United Kingdom,sales,SR
REC-00108,sale,2025-01-24,540977,COLOURING PENCILS BROWN TUBE,3.24,0.65,3.89,UNKNOWN,United Kingdom,sales,SR
REC-00109,sale,2025-01-09,519260,PIGGY BANK RETROSPOT,10.2,2.04,12.24,17299,United Kingdom,sales,SR
REC-00110,sale,2025-03-22,567369,WRAP ENGLISH ROSE,10.5,0.0,10.5,17527,United Kingdom,sales,EXEMPT
REC-00111,sale,2025-02-11,537237,JUMBO SHOPPER VINTAGE RED PAISLEY,4.21,0.0,4.21,UNKNOWN,United Kingdom,sales,ZR
REC-00112,sale,2025-01-19,543816,PAPER BUNTING WHITE LACE,8.85,1.77,10.62,17841,United Kingdom,sales,SR
REC-00113,sale,2025-01-28,558904,TREASURE TIN GYMKHANA DESIGN,4.13,0.83,4.96,UNKNOWN,United Kingdom,sales,SR
REC-00114,sale,2025-02-21,489869,RED HANGING HEART T-LIGHT HOLDER,2.95,0.59,3.54,16200,United Kingdom,sales,SR
REC-00115,sale,2025-01-16,558614,REVOLVER WOODEN RULER,4.13,0.0,4.13,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00116,sale,2025-03-18,521478,BOX OF 24 COCKTAIL PARASOLS,0.84,0.0,0.84,17841,United Kingdom,sales,ZR
REC-00117,sale,2025-03-10,560773,PACK 3 IRON ON DOG PATCHES,0.83,0.17,1.0,UNKNOWN,United Kingdom,sales,SR
REC-00118,sale,2025-03-06,536740,JAM MAKING SET PRINTED,17.4,3.48,20.88,15827,United Kingdom,sales,SR
REC-00119,sale,2025-02-07,572553,CHRISTMAS MUSICAL ZINC STAR,3.32,VOID,3.98,UNKNOWN,United Kingdom,sales,SR
REC-00120,sale,2025-02-26,564553,BLUE/CREAM STRIPE CUSHION COVER,6.25,1.25,7.5,18200,United Kingdom,sales,SR
REC-00121,sale,2025-02-21,491971,KNITTED UNION FLAG HOT WATER BOTTLE,15.56,0.0,15.56,UNKNOWN,United Kingdom,sales,ZR
REC-00122,sale,2025-02-27,533115,MINI CAKE STAND T-LIGHT HOLDER,10.08,2.02,11.55,14655,United Kingdom,sales,SR
REC-00123,sale,2025-01-08,561925,GROOVY CACTUS INFLATABLE,4.68,0.0,4.68,16551,United Kingdom,sales,ZR
REC-00124,sale,2025-02-06,530840,WRAP DOLLY GIRL,10.5,2.1,12.6,16563,United Kingdom,sales,SR
REC-00125,sale,2025-01-03,518480,GREEN SPOTTY CUP,3.4,0.68,4.08,16470,United Kingdom,sales,SR
REC-00126,sale,2025-02-13,548404,POLYESTER FILLER PAD 40x40cm,5.8,1.16,6.96,16398,United Kingdom,sales,SR
REC-00127,sale,2025-01-30,496947,SMALL RETRO SPOT MUG IN BOX  RED,11.25,2.25,13.5,14030,United Kingdom,sales,SR
REC-00128,sale,2025-01-14,495230,MINI WOODEN HAPPY BIRTHDAY GARLAND,20.28,0.0,20.28,13192,United Kingdom,sales,EXEMPT
REC-00129,sale,2025-01-09,511902,RED KITCHEN SCALES,8.5,0.0,8.5,12748,United Kingdom,sales,ZR
REC-00130,sale,2025-02-21,571266,TRELLIS COAT RACK,14.85,0.0,14.85,17769,United Kingdom,sales,ZR
REC-00131,sale,2025-01-16,541794,LUNCH BOX WITH CUTLERY RETROSPOT,5.1,1.02,6.12,17238,United Kingdom,sales,SR
REC-00132,sale,2025-03-25,567461,RED RETROSPOT OVEN GLOVE,13.16,2.63,15.79,UNKNOWN,United Kingdom,sales,SR
REC-00133,sale,2025-02-21,500177,PHARMACIE FIRST AID TIN,6.75,0.0,6.75,16742,United Kingdom,sales,ZR
REC-00134,sale,2025-01-31,543546,MEMO BOARD COTTAGE DESIGN,10.79,0.0,10.79,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00135,sale,2025-02-22,554514,"KEY FOB , SHED",1.63,0.33,1.96,UNKNOWN,United Kingdom,sales,SR
REC-00136,sale,2025-01-02,514163,SET OF 4 ENGLISH ROSE COASTERS,2.5,0.5,3.0,16283,United Kingdom,sales,SR
REC-00137,sale,2025-03-27,547867,PACK OF 72 RETROSPOT CAKE CASES,1.1,0.22,1.32,13357,United Kingdom,sales,SR
REC-00138,sale,2025-02-13,552676,SET OF 36 PAISLEY FLOWER DOILIES,3.75,0.0,3.75,UNKNOWN,United Kingdom,sales,ZR
REC-00139,sale,2025-03-12,571509,3 DRAWER ANTIQUE WHITE WOOD CABINET,17.9,0.0,17.9,13110,United Kingdom,sales,ZR
REC-00140,sale,Jan 2025,548516,PINK UNION JACK  LUGGAGE TAG,7.38,1.48,8.86,UNKNOWN,United Kingdom,sales,SR
REC-00141,sale,2025-02-13,580129,PAPER CHAIN KIT 50'S CHRISTMAS,35.4,7.08,42.48,17426,United Kingdom,sales,SR
REC-00142,sale,2025-02-13,574959,REGENCY SUGAR BOWL GREEN,8.3,1.66,9.96,17886,United Kingdom,sales,SR
REC-00143,sale,2025-03-26,564635,LUNCH BAG SUKI DESIGN,16.5,3.3,19.8,15615,United Kingdom,sales,SR
REC-00144,sale,2025-02-20,562843,SET/6 RED SPOTTY PAPER PLATES,3.32,0.0,3.32,UNKNOWN,United Kingdom,sales,ZR
REC-00145,sale,2025-02-12,556198,LUNCH BAG RED RETROSPOT,3.3,0.66,3.96,14963,United Kingdom,sales,SR
REC-00146,sale,2025-01-24,531162,FELTCRAFT CUSHION RABBIT,7.5,1.5,9.0,17841,United Kingdom,sales,SR
REC-00147,sale,2025-01-30,566914,PACK OF 72 SKULL CAKE CASES,2.2,0.44,2.64,15466,United Kingdom,sales,SR
REC-00148,sale,2025-02-17,576617,SET 7 BABUSHKA NESTING BOXES,16.63,3.33,19.96,UNKNOWN,United Kingdom,sales,SR
REC-00149,sale,2025-02-09,522789,CHRISTMAS TREE STAR DECORATION,15.12,3.02,18.14,14221,United Kingdom,sales,SR
REC-00150,sale,2025-01-02,492751,ENGLISH ROSE PLACEMATS,22.5,0.15,27.0,15768,United Kingdom,sales,SR
REC-00151,sale,2025-03-16,497372,5 HOOK BLACKBOARD ORGANISER,9.95,0.0,9.95,17810,United Kingdom,sales,EXEMPT
REC-00152,sale,2025-03-21,543808,PLASTERS IN TIN CIRCUS PARADE,1.65,0.33,1.98,17454,United Kingdom,sales,SR
REC-00153,sale,00/00/0000,504594,SMALL POPCORN HOLDER,1.7,0.34,2.04,15910,United Kingdom,sales,SR
REC-00154,sale,2025-02-19,568567,PHARMACIE FIRST AID TIN,13.29,2.66,15.95,UNKNOWN,United Kingdom,sales,SR
REC-00155,sale,2025-01-10,508228,SET OF 3 BIRD L.BLUE FEATHER,10.04,2.01,12.05,UNKNOWN,United Kingdom,sales,SR
REC-00156,sale,2025-03-02,567165,JUMBO BAG VINTAGE LEAF,2.08,0.42,2.5,17841,United Kingdom,sales,SR
REC-00157,sale,2025-01-26,573889,MONEY BOX HOUSEKEEPING DESIGN,1.25,0.25,1.5,13571,United Kingdom,sales,SR
REC-00158,sale,2025-02-28,536542,JUMBO  BAG BAROQUE BLACK WHITE,39.0,7.8,46.8,16456,United Kingdom,sales,SR
REC-00159,sale,2025-03-06,518881,RECIPE BOX BLUE SKETCHBOOK DESIGN,2.95,0.59,3.54,13069,United Kingdom,sales,SR
REC-00160,sale,2025-03-11,522273,ASSORTED TUTTI FRUTTI PEN,1.7,0.34,2.04,16470,United Kingdom,sales,SR
REC-00161,sale,2025-01-10,510166,PAPER BUNTING WHITE LACE,2.95,5.46,3.54,15013,United Kingdom,sales,SR
REC-00162,sale,2025-03-24,514481,MAN FLU METAL SIGN,25.2,3.0,30.24,14210,United Kingdom,sales,SR
REC-00163,sale,2025-01-21,503940,FANNY'S REST STOPMETAL SIGN,4.21,0.84,5.05,UNKNOWN,United Kingdom,sales,SR
REC-00164,sale,2025-01-03,579508,CURIOUS IMAGES GIFT WRAP SET,3.26,0.0,3.26,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00165,sale,2025-02-19,500341,PINK UNION JACK  LUGGAGE TAG,1.25,0.0,1.25,16466,United Kingdom,sales,ZR
REC-00166,sale,2025-02-03,550035,JUMBO SHOPPER VINTAGE RED PAISLEY,62.4,12.48,74.88,15039,United Kingdom,sales,SR
REC-00167,sale,2025-03-17,500664,WOODLAND DESIGN  COTTON TOTE BAG,2.25,0.45,2.7,17841,United Kingdom,sales,SR
REC-00168,sale,2025-03-13,530332,LARGE WHITE HONEYCOMB PAPER BELL,8.42,1.68,10.1,UNKNOWN,United Kingdom,sales,SR
REC-00169,sale,2025-01-29,501318,METAL SIGN EMPIRE TEA,2.95,0.59,3.54,13777,United Kingdom,sales,SR
REC-00170,sale,2025-03-27,497615,PARTY PIZZA DISH BLUE WHITE SPOT,5.1,1.02,6.12,14527,United Kingdom,sales,SR
REC-00171,sale,2025-01-27,568134,SMALL HEART FLOWERS HOOK,1.63,0.0,1.63,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00172,sale,2025-02-16,502090,VINTAGE PAISLEY STATIONERY SET,5.91,1.18,7.09,UNKNOWN,United Kingdom,sales,SR
REC-00173,sale,2025-01-23,534411,YELLOW GIANT GARDEN THERMOMETER,11.9,2.38,14.28,16209,United Kingdom,sales,SR
REC-00174,sale,2025-03-25,524351,MINI PAINT SET VINTAGE,23.4,0.0,23.4,13554,United Kingdom,sales,ZR
REC-00175,sale,2025-01-15,530339,GLASS JAR KINGS CHOICE,17.7,0.0,17.7,13523,United Kingdom,sales,ZR
REC-00176,sale,2025-01-04,515888,UNION STRIPE WITH FRINGE  HAMMOCK,15.9,3.18,19.08,16279,United Kingdom,sales,SR
REC-00177,sale,2025-02-08,539436,BLUE POLKADOT KIDS BAG,4.21,0.84,5.05,UNKNOWN,United Kingdom,sales,SR
REC-00178,sale,2025-03-31,560571,SET OF 60 PANTRY DESIGN CAKE CASES,13.2,2.64,15.84,17735,United Kingdom,sales,SR
REC-00179,sale,2025-03-21,501176,PADS TO MATCH ALL CUSHIONS,0.0,0.0,0.0,14857,United Kingdom,sales,SR
REC-00180,sale,,577507,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.58,0.12,0.7,14710,United Kingdom,sales,SR
REC-00181,sale,2025-03-21,496303,"SPRING DEC , HANGING CHICK  GREEN",5.8,1.16,6.96,16923,United Kingdom,sales,SR
REC-00182,sale,2025-03-21,492813,MINI CAKE STAND WITH HANGING CAKES,5.8,1.16,6.96,17920,United Kingdom,sales,SR
REC-00183,sale,2025-02-17,555510,LOVEBIRD HANGING DECORATION WHITE,3.26,0.0,3.26,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00184,sale,2025-01-29,579491,HAND WARMER UNION JACK,6.3,1.26,7.56,14723,United Kingdom,sales,SR
REC-00185,sale,2025-03-11,553385,MAKE YOUR OWN FLOWERPOWER CARD KIT,2.95,0.59,3.54,16710,United Kingdom,sales,SR
REC-00186,sale,2025-02-28,514480,,21.5,4.3,25.8,16409,United Kingdom,sales,SR
REC-00187,sale,2025-02-03,537604,COFFEE MUG BLUE PAISLEY DESIGN,30.6,0.0,30.6,13488,United Kingdom,sales,ZR
REC-00188,sale,2025-01-09,578512,RABBIT NIGHT LIGHT,12.48,2.5,14.98,15187,United Kingdom,sales,SR
REC-00189,sale,2025-03-08,490928,BEIGE PHOTO ALBUM,16.65,3.33,19.98,14085,United Kingdom,sales,SR
REC-00190,sale,2025-01-24,568060,"KEY FOB , BACK DOOR",1.95,0.39,2.34,14546,United Kingdom,sales,SR
REC-00191,sale,2025-03-26,497590,IVORY HANGING DECORATION  BUTTERFLY,1.66,0.33,1.99,UNKNOWN,United Kingdom,sales,SR
REC-00192,sale,2025-01-22,549939,TRADITIONAL WOODEN CATCH CUP GAME,15.0,3.0,18.0,16309,United Kingdom,sales,SR
REC-00193,sale,2025-01-11,571883,SET OF 3 WOODEN HEART DECORATIONS,2.5,-,3.0,14704,United Kingdom,sales,SR
REC-00194,sale,2025-03-17,558861,BISCUIT TIN VINTAGE CHRISTMAS,17.34,0.0,17.34,13373,United Kingdom,sales,EXEMPT
REC-00195,sale,2025-01-14,564755,JUMBO BAG APPLES,4.13,0.83,4.96,UNKNOWN,United Kingdom,sales,SR
REC-00196,sale,00/00/0000,532010,NATURAL SLATE RECTANGLE CHALKBOARD,3.3,0.0,3.3,17321,United Kingdom,sales,ZR
REC-00197,sale,2025-02-24,534459,HERB MARKER ROSEMARY,1.66,-3.56,1.99,UNKNOWN,United Kingdom,sales,SR
REC-00198,sale,2025-03-20,506724,SET OF 4 FAIRY CAKE PLACEMATS,7.62,1.52,9.14,UNKNOWN,United Kingdom,sales,SR
REC-00199,sale,2025-01-17,525200,FELTCRAFT CHRISTMAS FAIRY,17.0,0.0,17.0,16444,United Kingdom,sales,EXEMPT
REC-00200,sale,2025-01-28,543166,RED KITCHEN SCALES,17.0,0.0,17.0,13488,United Kingdom,sales,ZR
REC-00201,sale,2025-03-11,495467,PINK HAPPY BIRTHDAY BUNTING,32.7,0.0,32.7,13001,United Kingdom,sales,EXEMPT
REC-00202,sale,2025-03-28,530550,HEART OF WICKER SMALL,4.95,0.0,4.95,14988,United Kingdom,sales,EXEMPT
